_source_file,Issuer Name,G-Spread,BVAL Bid Yld,Cpn,Maturity,BBG Composite,Currency,ISIN,Issuer 1-yr Default Prob,EBITDA to Interest,Net Debt to EBITDA,Payment Rank,OAS Sprd (Mid),OAS Eff Dur (Mid),Mid Yield to Convention,Bid-Ask Spread,Issuer Industry,_flags
screenshot1.png,Average,84.009,4.482,3.964,,,,,,0.005165,13.340,4.16,,102.006,2.60,4.443,0.4459,,summary row
screenshot1.png,Delta Air Lines Inc,107.383,5.027,5.250,07/10/2030,BBB-,USD,US247361A329,0.001120,13.610,1.93,Sr Unsecured,132.131,3.73,4.964,0.3911,TRANS - NON RAIL,
screenshot1.png,Chevron USA Inc,30.045,4.285,4.300,10/15/2030,AA-,USD,US166756BJ45,0.000003,33.300,1.10,Sr Unsecured,55.697,3.96,4.216,0.4152,INDUSTRIAL,
screenshot1.png,Delta Air Lines Inc,94.092,4.802,4.950,07/10/2028,BBB-,USD,US247361A246,0.001120,13.610,1.93,Sr Unsecured,107.314,2.07,4.752,0.4197,TRANS - NON RAIL,
screenshot1.png,Discovery Communications,374.990,7.236,3.625,05/15/2030,BB,USD,US25470DBJ72,0.002333,3.280,5.01,Sr Unsecured,411.497,3.64,7.747,0.6845,INDUSTRIAL,
screenshot1.png,Rocket Cos Inc,177.139,5.735,6.125,08/01/2030,BB+,USD,US77311WAA99,0.008777,2.370,9.06,Sr Unsecured,172.399,3.15,5.657,0.9158,FINANCIAL,
screenshot1.png,Macquarie Bank Ltd,44.889,4.324,4.331,06/12/2028,A+,USD,US55608RBX70,0.000029,,,Sr Unsecured,61.967,2.05,4.262,0.3303,BANK,
screenshot1.png,GE HealthCare Technologies,72.726,4.721,4.800,01/15/2031,BBB,USD,US36266GAB32,0.000735,7.900,1.74,Sr Unsecured,100.659,4.18,4.663,0.3095,INDUSTRIAL,
screenshot1.png,Corp Andina de Fomento,26.313,4.142,4.125,06/30/2028,AA-,USD,US219868CN40,0.001107,,,Sr Unsecured,43.808,2.09,4.077,0.2648,SUPRA-NATIONAL,
screenshot1.png,General Motors Financial,90.441,4.877,5.450,07/15/2030,BBB,USD,US37045XFJ00,0.019169,2.250,7.44,Sr Unsecured,120.793,3.73,4.814,0.4014,FINANCIAL,
screenshot1.png,Discovery Communications,279.140,7.024,4.125,05/15/2029,BB,USD,US25470DBF50,0.002333,3.280,5.01,Sr Unsecured,302.175,2.81,6.642,0.5213,INDUSTRIAL,
screenshot1.png,JH North America Holdings,190.655,5.852,5.875,01/31/2031,BBB-,USD,US46593WAA36,0.003824,21.880,5.58,Secured,176.434,3.50,5.795,0.5115,INDUSTRIAL,
screenshot1.png,Caterpillar Financial Serv,30.634,4.168,4.100,08/15/2028,A,USD,US14913UBB52,0.013659,2.050,11.66,Sr Unsecured,51.900,2.23,4.120,0.3469,FINANCIAL,
screenshot1.png,Ares Capital Corp,196.771,5.964,5.500,09/01/2030,BBB,USD,US04010LBK89,0.000252,,,Sr Unsecured,222.852,3.84,5.889,0.566,FINANCIAL,
screenshot1.png,John Deere Capital Corp,44.576,4.400,4.550,06/05/2030,A,USD,US24422EYE30,0.013633,1.670,11.78,Sr Unsecured,75.151,3.72,4.336,0.3622,FINANCIAL,
screenshot1.png,Chevron USA Inc,19.385,4.066,4.050,08/13/2028,AA-,USD,US166756BH88,0.000003,33.300,1.10,Sr Unsecured,36.389,2.19,4.008,0.3537,INDUSTRIAL,
screenshot1.png,Oracle Corp,128.017,5.207,4.200,09/27/2029,BBB,USD,US68389XCS27,0.002345,7.150,4.44,Sr Unsecured,151.594,3.19,5.146,0.3608,INDUSTRIAL,
screenshot1.png,MPLX LP,78.049,4.783,4.800,02/15/2031,BBB,USD,US55336VCA61,0.000007,7.480,3.26,Sr Unsecured,106.716,4.26,4.728,0.3725,INDUSTRIAL,
screenshot1.png,Millrose Properties Inc,228.621,6.367,6.375,08/01/2030,BB,USD,US601137AA09,0.000217,,,Sr Unsecured,227.016,3.28,6.203,0.6790,FINANCIAL,ISIN corrected: US6011137AA09 -> US601137AA09 (extra digit removed)
screenshot1.png,Zoetis Inc,47.214,4.334,4.150,08/17/2028,BBB+,USD,US98978VAW37,0.000008,18.470,1.73,Sr Unsecured,63.394,2.20,4.292,0.3138,INDUSTRIAL,
screenshot1.png,NXP BV / NXP Funding LL,66.738,4.503,4.300,08/19/2028,BBB,USD,US62954HBF47,0.000931,10.270,2.38,Sr Unsecured,81.795,2.21,4.221,0.5688,INDUSTRIAL,
screenshot1.png,PVH Corp,133.793,5.231,5.500,06/13/2030,BBB-,USD,US693656AE03,0.004415,9.770,7.16,Sr Unsecured,160.499,3.63,5.242,0.2095,INDUSTRIAL,
screenshot1.png,Omega Healthcare Invest,115.224,5.107,5.200,07/01/2030,BBB-,USD,US681936BP48,0.000014,4.850,4.06,Sr Unsecured,140.932,3.70,5.053,0.4832,FINANCIAL,
screenshot1.png,Latam Airlines Group SA,333.429,7.248,7.875,04/15/2030,BB+,USD,USP62138AB13,0.001117,5.640,1.46,Secured,322.550,2.57,7.094,1.0319,INDUSTRIAL,
screenshot1.png,Latam Airlines Group SA,333.422,7.248,7.875,04/15/2030,BB+,USD,US51817RAD89,0.001117,5.640,1.46,Secured,322.550,2.57,7.094,1.0846,INDUSTRIAL,
